venue_name,main_team_id,name_display_club,index_runs,index_hr,index_hits,index_bb,index_so,index_bacon,index_hardhit,year
Citizens Bank Park,143,Phillies,104,116,100,102,104,102,99,2020
Dodger Stadium,119,Dodgers,96,119,98,89,104,98,98,2020
Fenway Park,111,Red Sox,110,92,105,105,100,106,106,2020
Yankee Stadium,147,Yankees,104,115,100,107,104,102,103,2020
American Family Field,158,Brewers,98,110,95,106,112,101,101,2020
Busch Stadium,138,Cardinals,92,86,97,101,92,94,97,2020
Daikin Park,117,Astros,96,106,97,101,105,98,93,2020
Citi Field,121,Mets,92,105,95,96,108,97,95,2020
Nationals Park,120,Nationals,110,111,105,104,96,104,103,2020
Oriole Park at Camden Yards,110,Orioles,106,118,104,95,90,100,98,2020
Angel Stadium,108,Angels,102,112,98,106,99,99,103,2020
Chase Field,109,D-backs,100,93,100,101,99,100,102,2020
loanDepot park,146,Marlins,90,74,98,96,96,96,94,2020
Oakland Coliseum,133,Athletics,90,85,95,98,96,94,100,2020
Wrigley Field,112,Cubs,98,92,98,107,100,99,102,2020
T-Mobile Park,136,Mariners,92,100,97,93,104,98,98,2020
Target Field,142,Twins,100,93,102,103,99,101,104,2020
Rate Field,145,White Sox,98,107,98,101,105,101,99,2020
Petco Park,135,Padres,96,99,96,106,103,98,102,2020
Comerica Park,116,Tigers,100,90,103,91,95,100,102,2020
Oracle Park,137,Giants,90,74,98,95,99,97,100,2020
Great American Ball Park,113,Reds,104,128,99,106,108,102,97,2020
Truist Park,144,Braves,104,94,102,105,97,102,103,2020
Tropicana Field,139,Rays,90,83,95,99,108,97,94,2020
PNC Park,134,Pirates,100,84,101,99,93,99,98,2020
Progressive Field,114,Guardians,100,101,100,96,104,101,100,2020
Kauffman Stadium,118,Royals,102,80,106,96,87,101,101,2020
Coors Field,115,Rockies,132,118,119,95,90,114,104,2020
