venue_name,main_team_id,name_display_club,index_runs,index_hr,index_hits,index_bb,index_so,index_bacon,index_hardhit,year
Coors Field,115,Rockies,123,108,117,90,83,109,101,2022
Oracle Park,137,Giants,100,83,100,102,103,102,105,2022
Petco Park,135,Padres,92,100,93,104,106,96,102,2022
Wrigley Field,112,Cubs,100,103,99,102,104,101,100,2022
Truist Park,144,Braves,100,104,100,101,107,102,103,2022
American Family Field,158,Brewers,96,110,94,107,110,97,95,2022
Target Field,142,Twins,98,100,99,103,99,99,103,2022
Oriole Park at Camden Yards,110,Orioles,104,108,103,97,94,100,100,2022
Nationals Park,120,Nationals,104,108,102,98,93,100,101,2022
Yankee Stadium,147,Yankees,96,115,93,109,107,97,97,2022
Chase Field,109,D-backs,104,86,104,99,93,101,96,2022
Busch Stadium,138,Cardinals,92,84,98,98,89,94,98,2022
Globe Life Field,140,Rangers,100,101,99,103,100,99,101,2022
Rate Field,145,White Sox,102,113,99,104,100,100,101,2022
Dodger Stadium,119,Dodgers,100,126,98,94,106,100,101,2022
Daikin Park,117,Astros,96,100,97,104,102,98,98,2022
Progressive Field,114,Guardians,96,98,99,96,101,99,96,2022
Comerica Park,116,Tigers,94,76,99,101,94,97,103,2022
Oakland Coliseum,133,Athletics,88,80,96,95,97,95,97,2022
Great American Ball Park,113,Reds,117,139,104,108,106,107,100,2022
Citizens Bank Park,143,Phillies,106,113,102,99,101,103,100,2022
Fenway Park,111,Red Sox,119,99,112,100,97,110,104,2022
Kauffman Stadium,118,Royals,106,80,109,96,88,104,105,2022
loanDepot park,146,Marlins,94,84,99,94,102,100,99,2022
Citi Field,121,Mets,94,95,96,101,105,98,97,2022
Tropicana Field,139,Rays,88,87,93,97,110,98,94,2022
T-Mobile Park,136,Mariners,85,100,91,96,107,92,95,2022
Angel Stadium,108,Angels,104,114,102,104,103,103,101,2022
PNC Park,134,Pirates,102,84,102,106,92,100,101,2022
Rogers Centre,141,Blue Jays,102,111,103,86,96,99,104,2022
