venue_name,main_team_id,name_display_club,index_runs,index_hr,index_hits,index_bb,index_so,index_bacon,index_hardhit,year
Angel Stadium,108,Angels,100,112,98,103,106,100,98,2024
Rate Field,145,White Sox,98,98,100,101,100,100,97,2024
Dodger Stadium,119,Dodgers,100,122,97,98,101,97,100,2024
Rogers Centre,141,Blue Jays,100,103,101,97,98,99,101,2024
Chase Field,109,D-backs,102,86,104,99,94,101,101,2024
Citi Field,121,Mets,94,99,92,110,104,96,99,2024
Wrigley Field,112,Cubs,94,93,98,102,103,98,97,2024
American Family Field,158,Brewers,94,114,94,106,112,97,97,2024
Globe Life Field,140,Rangers,102,115,100,103,100,99,102,2024
PNC Park,134,Pirates,102,84,102,102,95,101,103,2024
Oakland Coliseum,133,Athletics,94,81,97,102,98,97,95,2024
Tropicana Field,139,Rays,92,98,96,95,108,98,96,2024
Comerica Park,116,Tigers,96,86,98,98,97,98,100,2024
Daikin Park,117,Astros,100,107,100,102,101,100,98,2024
Busch Stadium,138,Cardinals,100,91,102,99,90,99,101,2024
Fenway Park,111,Red Sox,114,98,109,96,97,108,103,2024
Yankee Stadium,147,Yankees,100,119,94,110,103,97,102,2024
Coors Field,115,Rockies,125,109,116,99,89,111,103,2024
Kauffman Stadium,118,Royals,108,85,106,102,87,102,105,2024
Truist Park,144,Braves,100,105,102,98,109,104,105,2024
Nationals Park,120,Nationals,102,101,102,96,89,99,99,2024
Oracle Park,137,Giants,94,78,100,92,99,99,102,2024
Petco Park,135,Padres,92,104,96,99,102,96,100,2024
T-Mobile Park,136,Mariners,83,96,90,95,115,94,96,2024
Great American Ball Park,113,Reds,110,128,102,105,102,103,96,2024
Citizens Bank Park,143,Phillies,102,115,100,96,102,101,100,2024
Progressive Field,114,Guardians,94,86,99,97,98,98,96,2024
loanDepot park,146,Marlins,102,92,103,96,100,102,100,2024
Target Field,142,Twins,104,105,101,105,105,103,101,2024
Oriole Park at Camden Yards,110,Orioles,98,93,103,93,96,101,104,2024
